Ticker,Largest Loss
AJRD,72.72
AIXNY,147.2
PJT,150
USPH,162.81
KLIC,225.36
AMMA,234
IRS,286.22
PME,336.6
CALI,411.7
ACM,797
TAX,997.5
CIA,998.92
AFH,1684.16
ATEN,2614.77
VIVO,3544.05
CGI,465142.93
HMNY,693653.24
EROS,721033.63
MILLQ,1241315.91
RIOT,1733507.48
TRXC,1745259.07
CPST,1777534
GLBR,2165815.13
FIT1,3176023
AIOM,3937835.84
ADPT,4354548.78
GALE,4379456.15
MILLQ,6481255.34
GLBR,8754514.33
EGLT,30809061.85
CHMA,6120861.51
ORA,4725022
USAT,1996108.28
CTIC,1391359.7
ARWR,1118394
GAME,6500
KRA,5049.11
HLTH1,4035
UBNT,298
PTC,160.53
CTIC,1218210
ARWR,937252
VEON,678587.27
AMPE,533682.17
AQMS,485136.56
IMPR,6424
HTHT,6321.88
TSEM,6123
FTD,1776
GAME,1559
CHK,11577603.3
DV,7206832.95
CBL,6373736.39
BW,5470011.87
TRCO,5200000
STRZA,4364
ACOR,778
RIO2,622
OVAS2,500
LYV,76.48
CBL,4124236.12
CEMP,1359649
EVHC,1168347.23
FGP,1049313.91
CHK,835381
STRZA,1172.28
PSO,1149.07
DDAIY,717
PYPL1,501
LYV,50.86
OPK,23785598.2
VALE,15297748.1
CTL,13166113.4
ALR,9679399.59
SUNE,8319268.95
OMF,29732.25
ZBH,5473.37
NAVI2,3114.58
EFII,2083.11
STT,337.5
CTL,6894049.86
SUNE,4359500.2
ENDP1,2053834.84
GPRO1,1889086
STON,1762886.3
CAT,1643
EFII,1626.4
ERJ,1475.64
ALKS,1018
NAVI2,479
PRGO,68161973
NONE2,64910560
GE,56266226.7
AGN,55073083.7
MYL,52710653
UNM,38588.03
RIO1,22912
NFLX,18865.5
PPG,4059.63
SRE,2419.3
TEVA1,42525806.72
GE,30462907
PRGO,28630628.02
MYL,21392815.18
XIV,12514005.15
PM1,2606.73
SRE,1792
FLEX,1742.53
INTC,1232
PPG,32.95
